statefip,skill,basePop,netMig,lr,lincShared
"Minnesota",0,68976,1.601531,9.065466,9.410595
"Minnesota",1,17254,.291082,9.876749,9.410595
"Minnesota",1,31880,-2.365727,10.14751,10.01179
"Minnesota",0,72739,-1.559946,9.674994,10.01179
"Minnesota",0,54359,-3.453041,8.20265,8.818426
"Minnesota",1,10048,.4285249,9.492793,8.818426
"Minnesota",1,7192,0,9.292448,8.592249
"Minnesota",0,45063,2.133767,7.914511,8.592249
"Minnesota",0,68971,.5999272,8.162603,8.843632
"Minnesota",1,16206,-.273548,9.1441,8.843632
"Minnesota",0,130851,-.2634853,8.720801,9.405725
"Minnesota",1,39557,.1026947,9.739861,9.405725
"Minnesota",1,171339,-1.007572,10.11831,10.19217
"Minnesota",0,309222,-.5489417,9.847713,10.19217
"Minnesota",1,25705,-.7342088,9.670295,9.507665
"Minnesota",0,79987,.6528403,8.5175,9.507665
"Minnesota",1,20316,-.2045762,9.468477,9.173278
"Minnesota",0,61805,-.166827,8.394353,9.173278
"Mississippi",1,18962,.0428555,9.451842,8.429946
"Mississippi",0,158378,.5841886,7.552341,8.429946
"Mississippi",0,99048,.4355127,7.084791,8.39744
"Mississippi",1,12315,.1679193,9.549275,8.39744
"Mississippi",1,18602,-2.320537,9.539313,8.890035
"Mississippi",0,80513,.75367,8.341335,8.890035
"Mississippi",0,30392,-.2985341,8.509362,9.456225
"Mississippi",1,14494,1.162946,10.19765,9.456225
"Mississippi",0,60480,-3.066808,7.733817,8.410099
"Mississippi",1,9332,-.9024236,8.523767,8.410099
"Mississippi",1,15039,-.7764858,9.490386,8.858904
"Mississippi",0,60558,1.644245,8.114673,8.858904
"Mississippi",0,102622,-1.080584,8.18688,8.742051
"Mississippi",1,20367,-3.057997,9.210212,8.742051
"Mississippi",0,68849,-4.018406,8.223112,8.726583
"Mississippi",1,14169,.2601846,8.865092,8.726583
"Mississippi",0,31443,.0949644,8.690068,9.078127
"Mississippi",1,9625,.7304958,4.895578,9.078127
"Mississippi",1,8076,1.351064,9.784094,9.427134
"Mississippi",0,24861,1.314631,8.992297,9.427134
"Missouri",0,208148,-1.817672,8.94313,9.348705
"Missouri",1,62913,.1505196,9.529259,9.348705
"Missouri",0,175383,-2.455812,9.679446,10.06265
"Missouri",1,109370,-2.618761,10.00889,10.06265
"Missouri",0,82248,-1.60442,8.164036,8.708524
"Missouri",1,27262,-1.804401,8.570014,8.708524
"Missouri",0,93125,2.674767,8.725548,9.185665
"Missouri",1,31970,-1.696311,9.325964,9.185665
"Missouri",0,75996,-4.81231,8.374509,9.012273
"Missouri",1,22917,-.5317804,8.762066,9.012273
"Missouri",0,58160,-1.49831,9.017182,9.398795
"Missouri",1,19928,-.7683639,9.599166,9.398795
"Missouri",0,48121,1.33317,8.173653,8.750484
"Missouri",1,8886,-.2736506,9.358729,8.750484
"Missouri",0,82270,.4442901,9.030793,9.366274
"Missouri",1,15639,.2032499,9.512856,9.366274
"Missouri",1,136165,-.6540335,10.11215,10.13486
"Missouri",0,470073,-1.305428,9.76278,10.13486
"Missouri",1,8738,-.8228993,9.547962,9.201944
"Missouri",0,47648,-2.186713,8.842337,9.201944
"Missouri",0,31946,2.064182,8.575893,9.00739
"Missouri",1,4388,-3.302692,9.349668,9.00739
"Missouri",0,47091,.3896564,8.773343,9.146325
"Missouri",1,6546,-.5593154,9.667665,9.146325
"Montana",0,25051,4.878884,9.42129,9.754784
"Montana",1,12888,4.712829,9.890293,9.754784
"Montana",0,40086,.5967041,9.617167,9.927993
"Montana",1,20413,.8264599,9.780928,9.927993
"Montana",1,12479,3.369471,9.824706,9.722625
"Montana",0,26815,-1.135033,9.406979,9.722625
"Montana",1,14289,-6.895958,9.750763,9.314035
"Montana",0,38046,-10.63724,8.952036,9.314035
"Montana",1,15074,.4067769,9.751105,9.435389
"Montana",0,34093,2.241341,8.955476,9.435389
"Nebraska",1,40821,-4.493165,9.292074,8.980418
"Nebraska",0,87485,-4.923386,8.166026,8.980418
"Nebraska",1,22964,-3.029457,9.461019,9.173265
"Nebraska",0,52231,-5.292905,8.591283,9.173265
"Nebraska",1,15527,-2.222255,9.22261,8.782613
"Nebraska",0,53502,-9.380116,7.807133,8.782613
"Nebraska",1,21615,.0170035,9.017416,8.861081
"Nebraska",0,54840,-4.099144,8.104457,8.861081
"Nebraska",1,15378,-2.03704,9.543881,9.00422
"Nebraska",0,43531,-4.031642,8.264094,9.00422
"Nebraska",1,18479,-1.376462,8.988215,8.903207
"Nebraska",0,46906,-3.019041,8.263164,8.903207
"Nebraska",1,27974,-8.323151,9.843928,9.879404
"Nebraska",0,28495,-4.935451,9.268569,9.879404
"Nebraska",1,52791,-.6579769,10.13671,10.13353
"Nebraska",0,83384,-4.002203,9.729836,10.13353
"Nevada",0,25365,3.911531,9.605715,9.965701
"Nevada",1,14875,2.012923,9.967999,9.965701
"New Hampshire",1,15770,3.212604,9.904408,9.872147
"New Hampshire",0,45800,1.783336,9.577214,9.872147
"New Hampshire",1,25108,2.187667,10.05392,9.992598
"New Hampshire",0,62931,.3180408,9.661241,9.992598
"New Hampshire",1,15751,0,10.04575,10.10612
"New Hampshire",0,53370,.3153889,9.877791,10.10612
"New Jersey",1,27941,.9480602,9.991393,9.984963
"New Jersey",0,72791,4.320375,9.614924,9.984963
"New Jersey",0,32208,1.825507,9.735041,10.02706
"New Jersey",1,8000,2.238361,10.22772,10.02706
"New Jersey",0,1164592,.3246211,10.03277,10.38132
"New Jersey",1,356566,.444464,10.39244,10.38132
