skill,basePop,netMig,lr,lincShared
1,231882,-1.050554,11.70547,11.65803
0,283370,-1.722264,11.22422,11.65803
0,202758,-1.033935,11.13911,11.70292
1,131499,3.105395,11.8676,11.70292
0,2090603,-4.981873,10.90332,11.3374
1,924408,-1.690674,11.48095,11.3374
0,207784,-.8341593,10.98439,11.22407
1,46484,-.8101688,11.3693,11.22407
1,17488,1.558665,11.40512,11.37901
0,57063,2.614318,11.15831,11.37901
0,47350,.2607702,10.93184,11.14451
1,8638,-.017861,11.25308,11.14451
0,96506,-1.119872,10.85512,11.1882
1,38688,-2.202021,11.41194,11.1882
1,15554,-.537774,11.39618,11.17474
0,76864,.3083815,10.9332,11.17474
0,64781,3.09197,10.91551,11.1056
1,9961,-.3987049,11.128,11.1056
0,129218,-.6046299,11.00232,11.27512
1,43615,-.3078116,11.43649,11.27512
1,9913,-.693146,11.33648,11.14806
0,55874,.0592822,10.94905,11.14806
0,49443,2.253056,10.91712,11.11211
1,9943,-.4866467,11.15305,11.11211
0,44183,3.208567,10.8279,11.01874
1,5777,.7646117,11.08944,11.01874
1,8217,.5893131,11.31161,11.05581
0,52362,2.14926,10.8202,11.05581
1,6723,.6768792,11.06008,11.07903
0,49417,.4524403,10.93147,11.07903
1,8453,-2.824319,11.17471,11.03051
0,49083,-.7716908,10.86601,11.03051
1,10115,-.6925741,11.37165,11.26914
0,44464,-.3499514,11.09413,11.26914
1,34473,-11.1622,11.26346,11.19814
0,57740,-.2136358,10.90297,11.19814
1,47569,13.7338,11.75593,11.62539
0,57260,6.784382,11.11827,11.62539
1,23335,-.1276303,11.41698,11.22816
0,97326,.9497684,10.96386,11.22816
1,17641,-7.861131,11.29859,11.10817
0,44691,-1.169544,10.83537,11.10817
0,65848,-.8308235,10.80401,11.04706
1,11184,-1.204694,11.34341,11.04706
1,136493,-2.156633,11.4365,11.23928
0,342448,-2.44456,10.87782,11.23928
0,40354,8.75999,11.03684,11.34441
1,14452,1.634857,11.52552,11.34441
1,16930,2.655674,11.49604,11.32194
0,67606,9.178338,11.04489,11.32194
1,7139,-.7224156,11.30448,11.02886
0,46016,2.592418,10.79074,11.02886
0,59641,-2.095948,10.79563,11.08705
1,17317,-4.003482,11.35622,11.08705
1,6684,-.0746178,11.22112,10.98039
0,42902,-.2520873,10.7494,10.98039
0,31922,-2.345028,10.84572,11.20219
1,32896,-13.35431,11.22694,11.20219
0,54590,2.797998,10.8715,11.18993
1,13137,-.2480547,11.45998,11.18993
0,56187,2.201174,10.84004,11.04804
1,7370,.1416052,11.29098,11.04804
0,50730,4.636005,10.91773,11.14166
1,9106,-.113644,11.14371,11.14166
1,8941,.5337299,11.06327,11.05461
0,54949,1.156676,10.87554,11.05461
0,44714,2.699014,10.96542,11.24157
1,10232,.6606486,11.50793,11.24157
0,47284,4.039779,10.79053,10.99736
1,6011,-.4071677,11.17814,10.99736
0,55397,2.7337,10.89611,11.08492
1,8253,.1681068,11.27949,11.08492
1,28563,-.8134855,11.50995,11.21177
0,100880,.2093586,10.91263,11.21177
0,51756,.77808,10.71518,10.95135
1,14047,-.9011747,11.10895,10.95135
0,52234,-1.553653,10.71309,10.96834
1,12581,.6217697,11.24312,10.96834
0,67370,.9412219,10.64894,10.88532
1,15501,-.8096921,11.06767,10.88532
0,46193,-2.783882,10.80368,11.07323
1,18429,-5.897373,11.208,11.07323
0,80062,.5187666,10.81383,11.06347
1,19983,-1.317407,11.28433,11.06347
1,16840,-.6008232,11.26442,11.01772
0,70873,2.039607,10.77184,11.01772
0,27087,-2.086206,11.01981,11.37349
1,35275,-13.81611,11.36944,11.37349
1,29016,-.265184,11.34536,11.23267
0,72423,-.9296227,10.92706,11.23267
1,9302,-.6322796,11.00404,10.88915
0,38778,.3681364,10.67203,10.88915
1,10987,1.066224,11.13529,10.89143
0,51664,.3415748,10.66887,10.89143
0,41796,-3.191292,10.8624,11.12404
1,12132,-1.880285,11.40068,11.12404
0,74772,1.418306,10.78725,11.03198
1,15265,.5997534,11.12983,11.03198
1,17691,-.9495413,11.213,10.89791
0,78566,1.075246,10.64401,10.89791
1,67200,-.9636425,11.47839,11.28193
0,137544,-.5987965,10.92198,11.28193
0,41706,1.56233,10.83561,11.17832
1,31966,-7.476382,11.26669,11.17832
0,45686,2.749095,10.91595,11.19505
1,14261,.1467963,11.49745,11.19505
1,14059,-.9151558,11.28076,11.058
0,66583,-1.738548,10.82963,11.058
0,61985,-.6523874,10.86611,11.1973
1,23547,-1.819202,11.35373,11.1973
1,13046,-2.70835,11.18046,10.87359
0,36246,-.7303416,10.53925,10.87359
0,40454,-.3918994,10.6241,10.8778
1,9814,-.5968012,11.09999,10.8778
1,26936,-9.952305,10.97134,10.95871
0,56512,-8.803086,10.70496,10.95871
1,16070,-.7510467,11.10754,11.00084
0,53433,2.022934,10.75709,11.00084
0,74016,-6.792195,10.84664,11.01971
1,12392,-2.061152,11.06421,11.01971
1,116008,5.236971,11.67514,11.59718
0,116531,3.190433,11.12072,11.59718
0,33840,1.03716,10.89426,11.16513
1,29024,-8.162065,11.18197,11.16513
0,63250,-1.070567,10.87385,11.17785
1,25488,-.556695,11.32315,11.17785
1,12289,-1.060228,11.13861,10.99811
0,43831,3.693871,10.79324,10.99811
0,40446,-.7674865,10.77392,10.99351
1,11151,-.3604861,11.07057,10.99351
0,41838,-1.473162,10.64632,10.88187
1,10159,.4769506,11.119,10.88187
0,65884,-3.394508,10.67528,10.89166
1,11653,-.2102222,11.00003,10.89166
1,53867,-14.33012,11.3715,11.20362
0,135601,-32.32419,10.92746,11.20362
1,28737,25.7469,11.25986,11.1018
0,84364,72.62624,10.83181,11.1018
0,,,,
1,,,,
0,53790,-.5892169,10.59366,10.84016
1,13927,-1.89908,11.01776,10.84016
0,77058,2.893087,10.76917,11.02355
1,19759,-2.039931,11.24146,11.02355
0,52427,-.058297,10.68709,10.90438
1,5895,-.3480676,11.25243,10.90438
0,46321,-8.537454,10.65537,10.89726
1,7079,-.9588015,11.118,10.89726
1,16712,-2.293036,11.23927,11.01585
0,58603,2.062006,10.71284,11.01585
1,4991,-.0773206,11.05866,10.80448
0,48035,6.921134,10.60281,10.80448
0,89666,2.499474,10.49113,10.72843
1,10075,.2175635,11.13358,10.72843
1,5525,.8145763,11.2987,10.73154
0,47877,4.805063,10.44281,10.73154
0,62573,-1.809948,10.48153,10.72295
1,8092,-1.337296,10.98266,10.72295
0,61744,-2.932474,10.48866,10.69981
1,6526,-.4072067,10.87563,10.69981
0,80622,-1.967435,10.61034,10.81622
1,9292,-.197967,11.09761,10.81622
1,15598,-1.223984,10.99484,10.93309
0,70024,5.896849,10.71633,10.93309
0,51980,3.883631,10.90887,11.15501
1,12573,1.449971,11.3661,11.15501
0,53201,4.673915,10.69969,10.90923
1,6492,.1021895,11.27466,10.90923
0,55091,-1.657519,10.75963,10.98137
1,9403,-.9411728,11.09565,10.98137
1,6019,-.2182365,11.21368,10.97908
0,48509,3.148841,10.806,10.97908
0,44906,-2.709238,10.79555,11.03333
